SiteNumber,Type,LocationID,EffectiveDate,Region,DistrictOffice,State,StateName,County,CountyState,City,FacilityName,Ownership,Use,Owner,OwnerAddress,OwnerCSZ,OwnerPhone,Manager,ManagerAddress,ManagerCSZ,ManagerPhone,ARPLatitude,ARPLatitudeS,ARPLongitude,ARPLongitudeS,ARPMethod,ARPElevation,ARPElevationMethod,MagneticVariation,MagneticVariationYear,TrafficPatternAltitude,ChartName,DistanceFromCBD,DirectionFromCBD,LandAreaCoveredByAirport,BoundaryARTCCID,BoundaryARTCCComputerID,BoundaryARTCCName,ResponsibleARTCCID,ResponsibleARTCCComputerID,ResponsibleARTCCName,TieInFSS,TieInFSSID,TieInFSSName,AirportToFSSPhoneNumber,TieInFSSTollFreeNumber,AlternateFSSID,AlternateFSSName,AlternateFSSTollFreeNumber,NOTAMFacilityID,NOTAMService,ActiviationDate,AirportStatusCode,CertificationTypeDate,FederalAgreements,AirspaceDetermination,CustomsAirportOfEntry,CustomsLandingRights,MilitaryJointUse,MilitaryLandingRights,InspectionMethod,InspectionGroup,LastInspectionDate,LastOwnerInformationDate,FuelTypes,AirframeRepair,PowerPlantRepair,BottledOxygenType,BulkOxygenType,LightingSchedule,BeaconSchedule,ATCT,UNICOMFrequencies,CTAFFrequency,SegmentedCircle,BeaconColor,NonCommercialLandingFee,MedicalUse,SingleEngineGA,MultiEngineGA,JetEngineGA,HelicoptersGA,GlidersOperational,MilitaryOperational,Ultralights,OperationsCommercial,OperationsCommuter,OperationsAirTaxi,OperationsGALocal,OperationsGAItin,OperationsMilitary,OperationsDate,AirportPositionSource,AirportPositionSourceDate,AirportElevationSource,AirportElevationSourceDate,ContractFuelAvailable,TransientStorage,OtherServices,WindIndicator
50009.*A,AIRPORT,ADK,09/20/2012,AAL,NONE,AK,ALASKA,ALEUTIAN ISLANDS,AK,ADAK ISLAND,ADAK,PU,PU,STATE OF ALASKA-DOTPF-CENTRAL RGN,P O BOX 196900,ANCHORAGE- AK 99519,    907-269-0751,VINCE TUTIAKOFF,P O BOX 1952,ADAK- AK 99546,    907-592-8026,51-52-40.6700N,186760.6700N,176-38-45.7100W,635925.7100W,E,18,S,07E,2000,,W ALEUTIAN ISLS,0,W,,ZAN,ZAN,ANCHORAGE,ZAP,ZAP,ANCHORAGE OCEANIC,N,CDB,COLD BAY,907-532-2466,1-800-478-7250,ENA,KENAI,1-866-864-1737,ADK,Y,04/01/1949,O,I A S 04/2005,N,NO OBJECTION,N,N,N,Y,F,F,6232011,1081991,A1,NONE,NONE,NONE,NONE,SEE RMK,SS-SR,N,,122.9,Y,CG,,,0,0,0,0,,,,212,,0,0,100,28,01/02/2011,,,,,,HGR,CARGO,Y
50016.1*A,AIRPORT,AKK,09/20/2012,AAL,NONE,AK,ALASKA,KODIAK ISLAND,AK,AKHIOK,AKHIOK,PU,PU,ST OF AK DOTPF-CEN REG,PO BOX 196900,ANCHORAGE- AK 99519-6900,    907-269-0767,ROBERT GREENE,1500 ANTON LARSON RD.,KODIAK- AK 99615,    907-487-4952,56-56-19.2870N,204979.2870N,154-10-57.2000W,555057.2000W,E,44,S,18E,2005,,KODIAK,1,SW,,ZAN,ZAN,ANCHORAGE,,,,N,ENA,KENAI,800-478-3576,1-866-864-1737,,,,AKK,Y,11/01/1979,O,,NGY,NO OBJECTION,N,N,,Y,C,C,6132007,,,NONE,NONE,NONE,NONE,,,N,122.8,122.8,Y,,N,,0,0,0,0,,,,,,1500,,100,,12/31/2006,NACO,1997-03-18 00:00:00.0,NACO,1997-03-18 00:00:00.0,,,,Y
50017.*A,AIRPORT,Z13,09/20/2012,AAL,NONE,AK,ALASKA,BETHEL,AK,AKIACHAK,AKIACHAK,PU,PU,STATE OF ALASKA DOT CR,PO BOX 196900,ANCHORAGE- AK 99519-6900,    907-269-0770,DAVID CUMMINGS,STATE OF ALASKA DOT- 2016 AIRPORT ROAD,BETHEL- AK 99559,    907-543-2495,60-54-38.0000N,219278.0000N,161-29-59.0000W,581399.0000W,E,23,E,19E,1985,,MC GRATH,2,W,  231,ZAN,ZAN,ANCHORAGE,,,,N,ENA,KENAI,800-478-3576,1-866-864-1737,,,,ENA,Y,01/01/1968,O,,N,NO OBJECTION,N,N,N,Y,C,C,6122009,,,NONE,NONE,NONE,NONE,,,N,,122.9,Y,,N,,0,0,0,0,,,,,,3000,,,,08/30/2011,STATE,2012-03-30 00:00:00.0,STATE,2012-03-30 00:00:00.0,,,CARGO,Y
50017.1*C,SEAPLANE BASE,KKI,09/20/2012,AAL,NONE,AK,ALASKA,BETHEL,AK,AKIACHAK,AKIACHAK,PU,PU,PUBLIC DOMAIN,,,,NONE,,,,60-54-28.3130N,219268.3130N,161-26-06.2780W,581166.2780W,E,18,E,19E,1985,,MC GRATH,0,S,,ZAN,ZAN,ANCHORAGE,,,,N,ENA,KENAI,800-478-3576,1-866-864-1737,,,,ENA,Y,07/01/1966,O,,,NO OBJECTION,N,N,N,N,S,S,9262011,,,NONE,NONE,NONE,NONE,,,N,,122.9,N,,N,,,,,,,,,,,,,10,,12/31/2010,,,,,,,,N
50020.*A,AIRPORT,AKI,09/20/2012,AAL,NONE,AK,ALASKA,BETHEL,AK,AKIAK,AKIAK,PU,PU,STATE OF AK DOTPF CENTRAL RGN,PO BOX 196900,ANCHORAGE- AK 99519-6900,    907-269-0747,DAVID CUMMINGS,P O BOX 505,BETHEL- AK 99559,    907-543-2495,60-54-10.4000N,219250.4000N,161-13-50.1000W,580430.1000W,E,30,E,16E,2005,,MC GRATH,0,SW,   59,ZAN,ZAN,ANCHORAGE,,,,N,ENA,KENAI,800-478-3576,1-866-864-1737,,,,ENA,Y,07/01/1966,O,,N1,NO OBJECTION,N,N,N,Y,C,C,5302009,,,NONE,NONE,NONE,NONE,SEE RMK,SS-SR,N,,122.9,Y,CG,N,,1,0,0,0,,,,,,,,,,08/26/2005,NGS,2001-08-09 00:00:00.0,NGS,2001-08-09 00:00:00.0,,,CARGO,Y-L
50022.*C,SEAPLANE BASE,KQA,09/20/2012,AAL,NONE,AK,ALASKA,ALEUTIAN ISLANDS,AK,AKUTAN,AKUTAN,PU,PU,CITY OF AKUTAN,PO BOX 109,AKUTAN- AK 99553,    907-698-2228,JOE BERESKIN,CITY OF AKUTAN- 100 WINDY WAY,AKUTAN- AK 99553,    907-698-2241,54-08-02.0400N,194882.0400N,165-46-42.1800W,596802.1800W,E,0,E,15E,1985,,DUTCH HARBOR,0,S,,ZAN,ZAN,ANCHORAGE,,,,N,CDB,COLD BAY,907-532-2466,1-800-478-7250,ENA,KENAI,1-866-864-1737,CDB,Y,,O,,N,NOT ANALYZED,N,N,N,N,S,S,7102010,,,NONE,NONE,NONE,NONE,,,N,,122.9,N,,N,,0,0,0,0,,,,52,,50,,,,06/30/2010,STATE,2010-07-10 00:00:00.0,STATE,2010-07-10 00:00:00.0,,,,N
50022.1*A,AIRPORT,7AK,09/20/2012,AAL,NONE,AK,ALASKA,ALEUTIANS EAST,AK,AKUTAN,AKUTAN,PU,PU,ALASKA DOT & PF,4111  AVIATION AVE,ANCHORAGE- AK 99519,    907-269-1786,STEVE BERMINGER,P.O. BOX 920525,DUTCH HARBOR- AK 99692,     907-586-176,54-08-40.6000N,194920.6000N,165-36-14.8000W,596174.8000W,E,133,E,11E,2010,,,6,E,  369,ZAN,ZAN,ANCHORAGE,,,,,CDB,COLD BAY,907-532-2466,1-800-478-7250,ENA,KENAI,1-866-864-1737,,,07/01/2012,O,,,,,,,,,N,,,,,,,,SEE RMK,SS-SR,N,,122.9,Y,CG,,,,,,,,,,,,,,,,,STATE,2012-05-16 00:00:00.0,STATE,2012-05-16 00:00:00.0,,,,Y-L
50024.1*A,AIRPORT,AUK,09/20/2012,AAL,NONE,AK,ALASKA,WADE HAMPTON,AK,ALAKANUK,ALAKANUK,PU,PU,ST OF AK DOTPF NORTHERN RGN,2301 PEGER ROAD,FAIRBANKS- AK 99709,    907-451-2200,HARRY JOHNSON,BOX 192,UNALAKLEET- AK 99684,    907-624-3261,62-40-48.1590N,225648.1590N,164-39-35.7310W,592775.7310W,E,10,E,17E,1985,,BETHEL,1,SW,,ZAN,ZAN,ANCHORAGE,,,,N,ENA,KENAI,800-478-3576,1-866-864-1737,,,,ENA,Y,,O,,N,NO OBJECTION,N,N,N,Y,C,C,6272009,,,NONE,NONE,NONE,NONE,,SEE RMK,N,,122.9,N,CG,N,,0,0,0,0,,,,,,,,,,06/27/2009,,,,,,,CARGO,Y-L
50027.52*C,SEAPLANE BASE,Z33,09/20/2012,AAL,NONE,AK,ALASKA,BRISTOL BAY,AK,ALEKNAGIK,ALEKNAGIK,PR,PU,MOODY,PO BOX 67,ALEKNAGIK- AK 99555,,ROLAND OR BEVERLY MOODY,PO BOX 67,ALEKNAGIK- AK 99555,    907-842-5988,59-16-26.3210N,213386.3210N,158-37-24.9210W,571044.9210W,E,7,E,20E,1985,,KODIAK,0,NW,,ZAN,ZAN,ANCHORAGE,,,,N,DLG,DILLINGHAM,907-842-5275,LC842-5275,ENA,KENAI,1-866-864-1737,DLG,Y,01/01/1966,O,,,NO OBJECTION,N,N,N,N,S,C,6302007,,100LLMOGAS,NONE,NONE,NONE,NONE,,,N,,122.9,N,,N,,,,,,,,,,,,,,,12/31/2006,,,,,,TIE,,Y
50027.53*A,AIRPORT,5A8,09/20/2012,AAL,NONE,AK,ALASKA,BRISTOL BAY,AK,ALEKNAGIK,ALEKNAGIK /NEW,PU,PU,STATE OF AK DOTPF-CENTRAL RGN,POUCH 196900,ANCHORAGE- AK 99519-6900,    907-269-0760,NORMAN HEYANO,BOX 214,DILLINGHAM- AK 99576,    907-842-5511,59-16-57.2000N,213417.2000N,158-37-04.3200W,571024.3200W,E,63,E,20E,1985,,KODIAK,1,E,   51,ZAN,ZAN,ANCHORAGE,,,,,DLG,DILLINGHAM,907-842-5275,LC842-5275,ENA,KENAI,1-866-864-1737,DLG,Y,12/01/1982,O,,N,,,,,Y,C,C,7092009,12061982,,,,,,,,N,,122.9,,,,,1,0,0,0,,,,,,430,0,500,,12/31/2007,STATE,2011-03-24 00:00:00.0,STATE,2011-03-24 00:00:00.0,,,,Y
